"; General-Purpose Instruction Reference (from AMD64 Architecture Programmeral Volume 3: General-Purpose and System Instructions)"						
"; Written by Florian Negele (c) 2006 - with no warranties. Adaptions to new compiler and extensions by Felix Friedrich"						
";mnemonic"	";Op(1)"	";Op(2)"	";Op(3)"	";Opcode"	";architecture"	";width(bits)"
						
AAA				37	8086	Not64
						
AAD				D5 0A	8086	Not64
AAD				D5 ib	8086	Not64
						
AAM				D4 0A	8086	Not64
AAM				D4 ib	8086	Not64
						
AAS				3F	8086	Not64
						
ADC	AL	 imm8		14 ib	8086	
ADC	AX	 imm16		15 iw	8086	O16
ADC	EAX	 imm32		15 id	386	O32
ADC	RAX	 simm32		15 id	AMD64	
ADC	reg/mem8	 imm8		80 /2 ib	8086	
ADC	reg/mem16	 imm16		81 /2 iw	8086	O16
ADC	reg/mem32	 imm32		81 /2 id	386	O32
ADC	reg/mem64	 simm32		81 /2 id	AMD64	
ADC	reg/mem16	 simm8		83 /2 ib	8086	O16
ADC	reg/mem32	 simm8		83 /2 ib	386	O32
ADC	reg/mem64	 simm8		83 /2 ib	AMD64	
ADC	reg/mem8	 reg8		10 /r	8086	
ADC	reg/mem16	 reg16		11 /r	8086	O16
ADC	reg/mem32	 reg32		11 /r	386	O32
ADC	reg/mem64	 reg64		11 /r	AMD64	
ADC	reg8	 reg/mem8		12 /r	8086	
ADC	reg16	 reg/mem16		13 /r	8086	O16
ADC	reg32	 reg/mem32		13 /r	386	O32
ADC	reg64	 reg/mem64		13 /r	AMD64	
						
ADD	AL	 imm8		04 ib	8086	
ADD	AX	 imm16		05 iw	8086	O16
ADD	EAX	 imm32		05 id	386	O32
ADD	RAX	 simm32		05 id	AMD64	
ADD	reg/mem8	 imm8		80 /0 ib	8086	
ADD	reg/mem16	 imm16		81 /0 iw	8086	O16
ADD	reg/mem32	 imm32		81 /0 id	386	O32
ADD	reg/mem64	 simm32		81 /0 id	AMD64	
ADD	reg/mem16	 simm8		83 /0 ib	8086	O16
ADD	reg/mem32	 simm8		83 /0 ib	386	O32
ADD	reg/mem64	 simm8		83 /0 ib	AMD64	
ADD	reg/mem8	 reg8		00 /r	8086	
ADD	reg/mem16	 reg16		01 /r	8086	O16
ADD	reg/mem32	 reg32		01 /r	386	O32
ADD	reg/mem64	 reg64		01 /r	AMD64	
ADD	reg8	 reg/mem8		02 /r	8086	
ADD	reg16	 reg/mem16		03 /r	8086	O16
ADD	reg32	 reg/mem32		03 /r	386	O32
ADD	reg64	 reg/mem64		03 /r	AMD64	
						
AND	AL	 imm8		24 ib	8086	
AND	AX	 imm16		25 iw	8086	O16
AND	EAX	 imm32		25 id	386	O32
AND	RAX	 simm32		25 id	AMD64	
AND	reg/mem8	 imm8		80 /4 ib	8086	
AND	reg/mem16	 imm16		81 /4 iw	8086	O16
AND	reg/mem32	 imm32		81 /4 id	386	O32
AND	reg/mem64	 simm32		81 /4 id	AMD64	
AND	reg/mem16	 simm8		83 /4 ib	8086	O16
AND	reg/mem32	 simm8		83 /4 ib	386	O32
AND	reg/mem64	 simm8		83 /4 ib	AMD64	
AND	reg/mem8	 reg8		20 /r	8086	
AND	reg/mem16	 reg16		21 /r	8086	O16
AND	reg/mem32	 reg32		21 /r	386	O32
AND	reg/mem64	 reg64		21 /r	AMD64	
AND	reg8	 reg/mem8		22 /r	8086	
AND	reg16	 reg/mem16		23 /r	8086	O16
AND	reg32	 reg/mem32		23 /r	386	O32
AND	reg64	 reg/mem64		23 /r	AMD64	
						
BOUND	reg16	 mem16&mem16		62 /r	186	O16,Not64
BOUND	reg32	 mem32&mem32		62 /r	386	O32,Not64
						
BSF	reg16	 reg/mem16		0F BC /r	386	O16
BSF	reg32	 reg/mem32		0F BC /r	386	O32
BSF	reg64	 reg/mem64		0F BC /r	AMD64	
						
BSR	reg16	 reg/mem16		0F BD /r	386	O16
BSR	reg32	 reg/mem32		0F BD /r	386	O32
BSR	reg64	 reg/mem64		0F BD /r	AMD64	
						
BSWAP	reg32			0F C8 +rd	486	O32
BSWAP	reg64			0F C8 +rq	AMD64	
						
BT	reg/mem16	 reg16		0F A3 /r	386	O16
BT	reg/mem32	 reg32		0F A3 /r	386	O32
BT	reg/mem64	 reg64		0F A3 /r	AMD64	
BT	reg/mem16	 uimm8		0F BA /4 ib	386,SB	O16
BT	reg/mem32	 uimm8		0F BA /4 ib	386,SB	O32
BT	reg/mem64	 uimm8		0F BA /4 ib	AMD64	
						
BTC	reg/mem16	 reg16		0F BB /r	386	O16
BTC	reg/mem32	 reg32		0F BB /r	386	O32
BTC	reg/mem64	 reg64		0F BB /r	AMD64	
BTC	reg/mem16	 uimm8		0F BA /7 ib	386,SB	O16
BTC	reg/mem32	 uimm8		0F BA /7 ib	386,SB	O32
BTC	reg/mem64	 uimm8		0F BA /7 ib	AMD64	
						
BTR	reg/mem16	 reg16		0F B3 /r	386	O16
BTR	reg/mem32	 reg32		0F B3 /r	386	O32
BTR	reg/mem64	 reg64		0F B3 /r	AMD64	
BTR	reg/mem16	 uimm8		0F BA /6 ib	386,SB	O16
BTR	reg/mem32	 uimm8		0F BA /6 ib	386,SB	O32
BTR	reg/mem64	 uimm8		0F BA /6 ib	AMD64	
						
BTS	reg/mem16	 reg16		0F AB /r	386	O16
BTS	reg/mem32	 reg32		0F AB /r	386	O32
BTS	reg/mem64	 reg64		0F AB /r	AMD64	
BTS	reg/mem16	 uimm8		0F BA /5 ib	386,SB	O16
BTS	reg/mem32	 uimm8		0F BA /5 ib	386,SB	O32
BTS	reg/mem64	 uimm8		0F BA /5 ib	AMD64	
						
CALL	rel16off			E8 iw	8086	O16
CALL	rel32off			E8 id	8086	O32
CALL	reg/mem16			FF /2	8086	O16
CALL	reg/mem32			FF /2	386	O32
CALL	reg/mem64			FF /2	AMD64	O64
						
CALLFAR	pntr16:16			9A cd	8086	Not64
CALLFAR	pntr16:32			9A cp	386	Not64
CALLFAR	mem16:16			FF /3	8086	O16,Not64
CALLFAR	mem16:32			FF /3	386	O32,Not64
						
CBW				98	8086	O16
CWDE				98	386	O32
CDQE				98	AMD64	
						
CWD				99	8086	O16
CDQ				99	386	O32
CQO				99	AMD64	O64
						
CLC				F8	8086	
						
CLD				FC	8086	
						
CLFLUSH	mem8			0F AE /7	SSE2	
						
CMC				F5	8086	
						
CMOVO	reg16	 reg/mem16		0F 40 /r	P6	O16
CMOVO	reg32	 reg/mem32		0F 40 /r	P6	O32
CMOVO	reg64	 reg/mem64		0F 40 /r	AMD64	
CMOVNO	reg16	 reg/mem16		0F 41 /r	P6	O16
CMOVNO	reg32	 reg/mem32		0F 41 /r	P6	O32
CMOVNO	reg64	 reg/mem64		0F 41 /r	AMD64	
CMOVB	reg16	 reg/mem16		0F 42 /r	P6	O16
CMOVB	reg32	 reg/mem32		0F 42 /r	P6	O32
CMOVB	reg64	 reg/mem64		0F 42 /r	AMD64	
CMOVC	reg16	 reg/mem16		0F 42 /r	P6	O16
CMOVC	reg32	 reg/mem32		0F 42 /r	P6	O32
CMOVC	reg64	 reg/mem64		0F 42 /r	AMD64	
CMOVNAE	reg16	 reg/mem16		0F 42 /r	P6	O16
CMOVNAE	reg32	 reg/mem32		0F 42 /r	P6	O32
CMOVNAE	reg64	 reg/mem64		0F 42 /r	AMD64	
CMOVNB	reg16	reg/mem16		0F 43 /r	P6	O16
CMOVNB	reg32	reg/mem32		0F 43 /r	P6	O32
CMOVNB	reg64	reg/mem64		0F 43 /r	AMD64	
CMOVNC	reg16	reg/mem16		0F 43 /r	P6	O16
CMOVNC	reg32	reg/mem32		0F 43 /r	P6	O32
CMOVNC	reg64	reg/mem64		0F 43 /r	AMD64	
CMOVAE	reg16	 reg/mem16		0F 43 /r	P6	O16
CMOVAE	reg32	 reg/mem32		0F 43 /r	P6	O32
CMOVAE	reg64	 reg/mem64		0F 43 /r	AMD64	
CMOVZ	reg16	 reg/mem16		0F 44 /r	P6	O16
CMOVZ	reg32	 reg/mem32		0F 44 /r	P6	O32
CMOVZ	reg64	 reg/mem64		0F 44 /r	AMD64	
CMOVE	reg16	 reg/mem16		0F 44 /r	P6	O16
CMOVE	reg32	 reg/mem32		0F 44 /r	P6	O32
CMOVE	reg64	 reg/mem64		0F 44 /r	AMD64	
CMOVNZ	reg16	 reg/mem16		0F 45 /r	P6	O16
CMOVNZ	reg32	 reg/mem32		0F 45 /r	P6	O32
CMOVNZ	reg64	 reg/mem64		0F 45 /r	AMD64	
CMOVNE	reg16	 reg/mem16		0F 45 /r	P6	O16
CMOVNE	reg32	 reg/mem32		0F 45 /r	P6	O32
CMOVNE	reg64	 reg/mem64		0F 45 /r	AMD64	
CMOVBE	reg16	 reg/mem16		0F 46 /r	P6	O16
CMOVBE	reg32	 reg/mem32		0F 46 /r	P6	O32
CMOVBE	reg64	 reg/mem64		0F 46 /r	AMD64	
CMOVNA	reg16	 reg/mem16		0F 46 /r	P6	O16
CMOVNA	reg32	 reg/mem32		0F 46 /r	P6	O32
CMOVNA	reg64	 reg/mem64		0F 46 /r	AMD64	
CMOVNBE	reg16	 reg/mem16		0F 47 /r	P6	O16
CMOVNBE	reg32	reg/mem32		0F 47 /r	P6	O32
CMOVNBE	reg64	reg/mem64		0F 47 /r	AMD64	
CMOVA	reg16	 reg/mem16		0F 47 /r	P6	O16
CMOVA	reg32	 reg/mem32		0F 47 /r	P6	O32
CMOVA	reg64	 reg/mem64		0F 47 /r	AMD64	
CMOVS	reg16	 reg/mem16		0F 48 /r	P6	O16
CMOVS	reg32	 reg/mem32		0F 48 /r	P6	O32
CMOVS	reg64	 reg/mem64		0F 48 /r	AMD64	
CMOVNS	reg16	 reg/mem16		0F 49 /r	P6	O16
CMOVNS	reg32	 reg/mem32		0F 49 /r	P6	O32
CMOVNS	reg64	 reg/mem64		0F 49 /r	AMD64	
