的	白 	de dí dì					
是	日 	shì					
不	一 	bù					
我	戈 	wŏ					
一	一 	yī					
有	月 	yŏu yòu					
大	大 	dà dài tài					
在	土 	zài					
人	人 	rén					
了	亅 	le liăo					
中	丨 	zhōng zhòng					
到	刀 	dào					
要	襾 	yào yāo yăo					
以	人 	yĭ					
可	口 	kĕ kè					
這	辵 	zhè zhèi yàn					
这	辵 	zhè zhèi					
个	丨 	gè gĕ					
個	人 	gè gĕ					
你	人 	nĭ					
会	人 	huì kuài guì					
會	曰 	huì kuài guì					
好	女 	hăo hào					
爲	爪 	wèi wéi					
为	丶 	wèi wéi					
為	火 	wèi wéi					
上	一 	shàng					
來	人 	lái lài					
来	木 	lái lài					
學	子 	xué					
学	子 	xué					
就	尢 	jiù					
交	亠 	jiāo					
也	乙 	yĕ					
用	用 	yòng					
能	肉 	néng nài tái tài nái xióng					
如	女 	rú					
时	日 	shí					
時	日 	shí					
文	文 	wén wèn					
說	言 	shuō shuì yuè tuō					
说	言 	shuō shuì tuō yuè					
沒	水 	méi mò					
他	人 	tā					
看	目 	kàn kān					
那	邑 	nà nèi nā nă né nĕi nuó nuò					
問	口 	wèn					
问	門 	wèn					
生	生 	shēng					
提	手 	tí dī dĭ shí					
下	一 	xià					
过	辵 	guò guo guō					
過	辵 	guò guo guō huò					
請	言 	qĭng qìng qīng qíng					
请	言 	qĭng qìng qīng qíng					
們	人 	men5					
们	人 	men5					
天	大 	tiān					
所	戶 	suŏ					
多	夕 	duō					
麼	麻 	mo mŏ ma me					
小	小 	xiăo					
之	丿 	zhī					
想	心 	xiăng					
得	彳 	dé de dĕi					
工	工 	gōng					
出	凵 	chū					
還	辵 	huán hái xuán					
还	辵 	huán hái xuán					
电	田 	diàn					
電	雨 	diàn					
對	寸 	duì					
对	寸 	duì					
都	邑 	dū dōu					
機	木 	jī					
自	自 	zì					
而	而 	ér néng					
子	子 	zĭ zi					
後	彳 	hòu					
讯	言 	xùn					
訊	言 	xùn					
家	宀 	jiā jie gū					
站	立 	zhàn zhān					
心	心 	xīn					
去	厶 	qù					
知	矢 	zhī zhì					
国	囗 	guó					
國	囗 	guó					
很	彳 	hĕn					
成	戈 	chéng					
信	人 	xìn					
同	口 	tóng tòng					
何	人 	hé hè					
章	立 	zhāng zhàng					
道	辵 	dào dăo					
發	癶 	fā fà bō					
发	又 	fā fà fă bō					
地	土 	dì de					
法	水 	fă					
無	火 	wú mó					
无	无 	wú mó					
然	火 	rán					
但	人 	dàn					
當	田 	dāng dàng					
当	彐 	dāng dàng					
於	方 	yú yū wū					
吗	口 	ma má mă					
嗎	口 	ma má mă					
本	木 	bĕn					
年	干 	nián					
現	玉 	xiàn					
现	玉 	xiàn					
前	刀 	qián					
最	曰 	zuì					
真	目 	zhēn					
新	斤 	xīn					
和	口 	hé huò huó hè					
因	囗 	yīn					
果	木 	guŏ kè luŏ wŏ					
意	心 	yì					
定	宀 	dìng					
點	黑 	diăn zhān duò					
点	火 	diăn					
情	心 	qíng					
其	八 	qí jī					
题	頁 	tí dì					
題	頁 	tí dì					
事	亅 	shì					
科	禾 	kē kè					
方	方 	fāng fēng páng wăng					
些	二 	xiē suò sā					
清	水 	qīng qìng					
三	一 	sān sàn					
樣	木 	yàng xiàng					
样	木 	yáng yàng xiàng yáng					
此	止 	cĭ					
吧	口 	ba bā					
位	人 	wèi					
作	人 	zuò zuō zuó					
理	玉 	lĭ					
行	行 	xíng háng xìng hàng héng					
者	老 	zhĕ zhū					
经	糸 	jīng jìng					
經	糸 	jīng jìng					
名	口 	míng					
什	人 	shí shén					
謝	言 	xiè					
谢	言 	xiè					
日	日 	rì mì					
正	止 	zhèng zhēng					
開	門 	kāi					
开	廾 	kāi					
話	言 	huà					
话	言 	huà					
與	臼 	yŭ yù yú					
与	一 	yŭ yù yú					
实	宀 	shí					
實	宀 	shí					
愛	心 	ài					
爱	爪 	ài					
再	冂 	zài					
華	艸 	huá huā huà					
华	十 	huá huà huā					
二	二 	èr					
城	土 	chéng					
动	力 	dòng					
動	力 	dòng					
比	比 	bĭ bì pí pĭ					
面	面 	miàn					
高	高 	gāo gào					
又	又 	yòu					
或	戈 	huò yù					
力	力 	lì					
應	心 	yìng yīng					
应	广 	yìng yīng					
女	女 	nܲŭ					
種	禾 	zhŏng zhòng chóng					
教	攴 	jiào jiāo					
車	車 	chē jū					
车	車 	chē jū					
分	刀 	fēn fèn					
像	人 	xiàng					
系	糸 	xì jì					
长	長 	cháng zhăng zhàng					
長	長 	cháng zhăng zhàng					
手	手 	shŏu					
次	欠 	cì zīcí					
已	己 	yĭ					
明	日 	míng					
打	手 	dă dá					
太	大 	tài					
路	足 	lù luò					
起	走 	qĭ					
己	己 	jĭ					
相	目 	xiāng xiàng					
主	丶 	zhŭ					
關	門 	guān					
关	八 	guān wān					
十	十 	shí					
間	門 	jiān jiàn jiăn					
间	門 	jiān jiàn					
凤	几 	fèng					
鳳	鳥 	fèng					
外	夕 	wài					
呢	口 	ní ne					
覺	見 	jué jiào					
觉	見 	jué jiào					
使	人 	shĭ shì					
該	言 	gāi					
该	言 	gāi					
友	又 	yŏu					
才	手 	cái					
进	辵 	jìn					
進	辵 	jìn					
凰	几 	huáng					
她	女 	tā					
民	氏 	mín					
著	艸 	zhù zhuó chú zhāo zháo zhe					
各	口 	gè					
全	入 	quán					
将	寸 	jiāng jiàng qiāng					
將	寸 	jiāng jiàng qiāng					
少	小 	shăo shào					
兩	入 	liăng liàng					
两	一 	liăng liàng					
加	力 	jiā					
回	囗 	huí					
感	心 	găn					
式	弋 	shì					
第	竹 	dì					
球	玉 	qiú					
性	心 	xìng					
老	老 	lăo					
程	禾 	chéng					
把	手 	bă bà					
被	衣 	bèi pī bì pì					
公	八 	gōng					
论	言 	lùn lún					
論	言 	lùn lún					
及	又 	jí					
龍	龍 	lóng lŏng máng					
龙	龍 	lóng lŏng máng					
校	木 	xiào jiăo jiào xiáo					
別	刀 	bié					
體	骨 	tĭ tī					
重	里 	zhòng chóng tóng					
给	糸 	gĕi jĭ					
給	糸 	gĕi jĭ xiá					
聽	耳 	tīng tìng					
水	水 	shuĭ					
做	人 	zuò					
常	巾 	cháng					
您	心 	nín					
見	見 	jiàn xiàn					
见	見 	jiàn xiàn					
裡	衣 	lĭ					
东	一 	dōng					
東	木 	dōng					
风	風 	fēng fĕng fèng					
風	風 	fēng fĕng fèng					
解	角 	jiĕ jiè xiè					
灣	水 	wān					
湾	水 	wān					
月	月 	yuè					
等	竹 	dĕng					
啦	口 	la lā					
部	邑 	bù pŏu					
原	厂 	yuán yuàn					
美	羊 	mĕi					
先	儿 	xiān					
音	音 	yīn yìn					
通	辵 	tōng tòng					
管	竹 	guăn					
網	糸 	wăng					
區	匸 	qū ōu					
区	匸 	qū ōu					
期	月 	qí qī jī					
錯	金 	cuò cù xī					
错	金 	cuò cù					
否	口 	fŏu pĭ					
乐	丿 	lè yuè yào luò					
樂	木 	lè yuè yào luò					
入	入 	rù					
找	手 	zhăo					
书	乙 	shū					
書	曰 	shū					
让	言 	ràng					
讓	言 	ràng					
四	囗 	sì					
啊	口 	a					
由	田 	yóu yāo					
選	辵 	xuăn suàn xuàn					
选	辵 	xuăn suàn					
較	車 	jiào jué xiào					
较	車 	jiào jué					
數	攴 	shù shŭ cù shuò					
数	攴 	shù shŭ cù shuò					
表	衣 	biăo					
內	入 	nèi nà					
场	土 	cháng chăng					
場	土 	cháng chăng					
它	宀 	tā tai tuō					
从	人 	cóng zòng zōng cōng					
從	彳 	cóng zòng zōng cōng					
快	心 	kuài					
歡	欠 	huān					
欢	欠 	huān					
至	至 	zhì dié					
立	立 	lì wèi					
目	目 	mù					
社	示 	shè					
合	口 	hé gĕ					
望	月 	wàng					
怎	心 	zĕn					
认	言 	rèn					
認	言 	rèn					
告	口 	gào					
更	曰 	gèng gēng					
幾	幺 	jĭ jī					
考	老 	kăo					
度	广 	dù duó					
難	隹 	nán nàn nuó					
难	隹 	nán nàn nuó					
版	片 	băn					
頭	頁 	tóu tou					
头	大 	tóu tou					
喜	口 	xĭ					
許	言 	xŭ hŭ					
许	言 	xŭ hŭ					
光	儿 	guāng					
今	人 	jīn					
买	乙 	37742					
買	貝 	37742					
算	竹 	suàn					
弟	弓 	dì tì tì					
若	艸 	ruò rĕ ré rè					
統	糸 	tŏng					
统	糸 	tŏng					
身	身 	shēn yuán juān					
記	言 	jì					
记	言 	jì					
代	人 	dài					
号	口 	hào háo					
號	虍 	hào háo					
處	虍 	chù chŭ					
处	夂 	chù chŭ					
完	宀 	wán					
接	手 	jiē					
计	言 	jì					
計	言 	jì					
言	言 	yán yàn yín					
字	子 	zì					
师	巾 	shī					
師	巾 	shī					
並	一 	bìng bàng					
政	攴 	zhèng zhēng					
玩	玉 	wán wàn					
张	弓 	zhāng zhàng					
張	弓 	zhāng zhàng					
男	田 	nán					
誰	言 	shuí shéi					
谁	言 	shuí shéi					
山	山 	shān					
每	毋 	mĕi mèi					
结	糸 	jié jiē jì					
結	糸 	jié jì jiē					
且	一 	qiĕ jū					
星	日 	xīng					
非	非 	fēi fĕi					
建	廴 	jiàn					
改	攴 	găi					
连	辵 	lián					
連	辵 	lián liăn liàn làn					
放	攴 	fàng făng					
哈	口 	hā hă hà					
活	水 	huó guō					
研	石 	yán yàn xíng					
直	目 	zhí					
設	言 	shè					
设	言 	shè					
陳	阜 	chén zhèn					
陈	阜 	chén zhèn					
报	手 	bào					
報	土 	bào					
轉	車 	zhuăn zhuàn					
转	車 	zhuăn zhuàn					
黨	黑 	dăng zhăng					
指	手 	zhĭ					
五	二 	wŭ					
變	言 	biàn					
变	又 	biàn					
氣	气 	qì xì					
西	襾 	xī					
試	言 	shì					
试	言 	shì					
希	巾 	xī					
神	示 	shén shēn					
取	又 	qū					
化	匕 	huà huā					
物	牛 	wù					
王	玉 	wáng wàng yù					
任	人 	rèn rén					
林	木 	lín					
单	十 	dān shàn chán					
單	口 	dān shàn chán					
世	一 	shì					
受	又 	shòu					
近	辵 	jìn jì					
义	丶 	yì					
義	羊 	yì					
死	歹 	sĭ					
便	人 	biàn pián					
反	又 	făn fān					
士	士 	shì					
戰	戈 	zhàn					
战	戈 	zhàn					
资	貝 	zī					
資	貝 	zī zì					
空	穴 	kōng kòng kŏng					
隊	阜 	duì suì zhuì					
队	阜 	duì suì zhuì					
跟	足 	gēn					
卻	卩 	què					
北	匕 	bĕi bèi					
必	心 	bì					
業	木 	yè					
业	一 	yè					
功	力 	gōng					
写	冖 	xiĕ					
寫	宀 	xiĕ					
影	彡 	yĭng					
声	士 	shēng					
聲	耳 	shēng					
平	干 	píng					
臺	至 	tái yí tāi					
台	口 	tái yí tāi					
員	口 	yuán yùn					
员	口 	yuán yùn					
金	金 	jīn jìn					
讨	言 	tăo					
討	言 	tăo					
色	色 	sè shăi					
则	刀 	zé					
則	刀 	zé					
容	宀 	róng					
档	木 	dăng dàng					
